iter	Logloss
0	0.677877726
1	0.6638293666
2	0.6512620723
3	0.6382769081
4	0.6253809977
5	0.6131640848
6	0.6022730435
7	0.5921098825
8	0.5824808807
9	0.5740324687
10	0.5654847988
11	0.5578871379
12	0.5497284456
13	0.5423111959
14	0.5354240874
15	0.5290673841
16	0.5227833253
17	0.5171616987
18	0.5116382085
19	0.5060785908
20	0.5011313452
21	0.4964127707
22	0.4913725384
23	0.4869423563
24	0.4829729978
25	0.4793856916
26	0.4753178873
27	0.4716583153
28	0.4686144092
29	0.4654624789
30	0.4627561204
31	0.4593888288
32	0.45669802
33	0.4538898426
34	0.4518300904
35	0.4494370785
36	0.4470953695
37	0.4446245011
38	0.4427386649
39	0.4405082834
40	0.4387602422
41	0.4364781501
42	0.4346721045
43	0.4331073276
44	0.4311985627
45	0.4295059897
46	0.4279522907
47	0.4263135639
48	0.4246579808
49	0.4234027458
50	0.4229346502
51	0.4216514264
52	0.4201688568
53	0.4189874717
54	0.4173511234
55	0.4164288448
56	0.4140893997
57	0.412935674
58	0.4115571222
59	0.4103536105
60	0.4090376181
61	0.4081046289
62	0.4071278411
63	0.4061995677
64	0.4054754046
65	0.4044617291
66	0.4031833187
67	0.4021472776
68	0.4012593648
69	0.40043236
70	0.3996481949
71	0.3989308831
72	0.3979472794
73	0.3973551353
74	0.3967477816
75	0.3959243906
76	0.3952174783
77	0.3945471261
78	0.3938631611
79	0.3932422854
80	0.3925524479
81	0.3917169982
82	0.3912340138
83	0.3905922116
84	0.390096272
85	0.3896544652
86	0.3893021534
87	0.388914011
88	0.3884859799
89	0.3873462963
90	0.3865558974
91	0.3861236061
92	0.3856030507
93	0.385062401
94	0.384528798
95	0.3839802821
96	0.3836219301
97	0.3831163285
98	0.3826477366
99	0.3822712392
100	0.3819853072
101	0.3814050077
102	0.38101825
103	0.3805195967
104	0.3801797809
105	0.3797327094
106	0.3794223346
107	0.379036637
108	0.3785102764
109	0.3781394315
110	0.3778105616
111	0.377394245
112	0.3769445694
113	0.3766555473
114	0.3763914914
115	0.3758458084
116	0.3756466754
117	0.3753939811
118	0.3751655825
119	0.3746906637
120	0.3744521389
121	0.3742268992
122	0.3738525974
123	0.3735773938
124	0.3731998362
125	0.3730172776
126	0.3723388602
127	0.371724329
128	0.3712831991
129	0.3708526
130	0.3705653839
131	0.3701720718
132	0.369807541
133	0.3696649328
134	0.3692842835
135	0.3690589693
136	0.3687575688
137	0.3685925214
138	0.3683230937
139	0.3678517323
140	0.3676185559
141	0.367230835
142	0.3669824433
143	0.3668323244
144	0.366487567
145	0.3662646052
146	0.3661326103
147	0.3659330688
148	0.3657126024
149	0.365475516
150	0.3651906094
151	0.3648366714
152	0.3644656306
153	0.364281352
154	0.3639852813
155	0.3638215983
156	0.3636010633
157	0.3633033044
158	0.3630567187
159	0.3628486632
160	0.3626710527
161	0.3624750964
162	0.3622524318
163	0.361913522
164	0.3617066389
165	0.3615210644
166	0.3612782503
167	0.3610211528
168	0.3608411488
169	0.3606422659
170	0.3604009514
171	0.3602803772
172	0.3601326731
173	0.3599907424
174	0.3597411224
175	0.3595661279
176	0.3591051824
177	0.3587287874
178	0.358588156
179	0.3583844926
180	0.3582280037
181	0.3581605011
182	0.3576062648
